animal,migrant,mixed-migrant,disperser,resident,nomad,bestmodel
140040,3586.58139842244,3595.90556929521,3718.54109532034,3880.63847531907,3900.59453614791,1
140050,3445.6825753791,3490.03282919405,3475.62355012452,3439.36676654093,3540.66926722928,4
140060,4316.02445159505,NA,NA,4282.85136378328,4393.52357890348,4
140070,2867.79486872906,2844.36468822828,2848.43493222161,2836.26456592138,2915.66841810522,4
140100,2871.26968177154,2848.49610918174,2847.90452631341,2811.77654077741,2953.60429392417,4
140120,3507.49524053441,3460.88238506813,3680.06676224279,3761.10021818206,3818.76548199163,2
140290,NA,NA,3548.00027740949,3500.510375503,3553.20265901116,4
140300,3096.82939116415,3088.39937725955,3433.67475579424,3543.01200675305,3592.08608674052,2
140320,3163.87131542414,3110.6080610214,3286.30476623859,3232.36609458257,3307.21201242351,2
140340,2733.50572074489,2707.01385033474,3178.73458011023,3315.9666337181,3409.71627059611,2
140360,NA,NA,NA,2392.76266118943,2464.58998850655,4
140380,2403.82143341903,2392.79544787181,2379.85651158759,2288.31012807228,2421.08926757168,4
140400,3140.0626779721,3105.39944695361,3181.75537239058,3220.27584391705,3222.28810720774,2
140480,3236.19894340592,3220.95457424564,3276.60369635115,3382.07440767089,3330.76761340371,2
140560,3569.75242438204,3565.46523318766,3894.435541287,4073.99985194816,4145.33926201569,2
140600,2885.02987720821,2876.09134880025,3095.73281947245,3093.01409750507,3256.59281683037,2
140630,3472.05050916543,3520.60765689472,3481.00274799443,3464.7462502802,3526.9171280016,4
140650,3064.15074831772,3052.52797593587,3043.61974669384,3031.49702905421,3144.29531861228,4
140680,3297.34162787269,3256.74534144626,3329.56156222815,3403.75462249516,3384.24324518972,2
140710,3201.38814300359,3187.09465906509,3294.34196190007,3328.923694293,3424.10807690612,2
140800,4081.4104480954,NA,4152.29907681411,4226.02192474974,4190.37382290379,1
140850,3043.95750756179,3032.02336683237,3279.92928503888,3396.25294020471,3459.06863109266,2
140890,3275.70983778684,3301.84254686972,3508.76710265524,3506.18610931387,3558.34848878525,1
140900,3232.42057062929,3163.32749438414,3221.92566304011,3266.2939877493,3392.75314908749,2
140910,3455.90761859809,3458.24981401773,3502.84308592063,3582.35630083917,3554.21565038189,1
140920,2937.13984092719,2946.69108306215,2933.13984092719,2837.31143082254,2891.47214205917,4
140930,NA,NA,NA,305.945074804303,281.720326732527,5
140940,3202.81731112355,3251.84974799318,3333.58423746411,3320.37326098146,3375.48194321053,1
140960,3221.17115456867,3206.14830892152,3253.13314981763,3275.0538663183,3368.26795016231,2
140980,3332.63576882502,3313.39794223928,3486.11503603205,3613.88693254583,3655.1598992493,2
141000,3313.49408727987,3298.186355601,3423.33861094407,3488.97265530384,3601.24223126156,2
141010,3781.31200004366,3770.80562891958,4053.04372949512,4133.52868961745,4221.78891606528,2
141060,3074.92209370565,3089.69710956867,3165.94705212027,3219.35584285305,3232.61557258268,1
141070,NA,3259.68592125079,NA,3162.62950321236,3227.54892172539,4
141080,3219.157484475,3199.92911578455,3268.55963641996,3312.68484834041,3392.86758299961,2
141090,2601.55733823365,2597.73417158546,2601.8219027833,2591.2020096027,2602.74451140891,4
141100,3018.07185466177,2993.81185117726,3023.00350232782,3066.1447571146,3049.67817954772,2
141110,2512.19383715814,2337.14055963566,2331.14055962846,2484.91161835188,2397.02790604067,3
141120,3578.43661585055,3575.4120509855,3716.17023556633,3812.91944387669,3758.35150632883,2
141130,3398.76575121012,3362.28909441349,3468.50000317132,3423.19866259739,3538.86099931319,2
141150,3689.17584625487,3700.48363976361,4019.17877978305,4134.43002482464,4218.31124840556,1
141160,3204.01603819849,3195.39652669763,3419.53597949192,3504.87423654167,3528.41448703922,2
141170,NA,NA,2035.74827427916,2163.21733901728,2056.49434019769,3
141180,3969.35304575798,3968.25514145768,4352.86614548569,4481.2365293368,4497.88786692133,2
141200,2539.25024306388,2541.24244040875,2572.56913736342,2693.27994764548,2635.03963594609,1
141210,NA,NA,NA,1440.65881494531,1507.18178590026,4
141220,2377.83262665428,2379.95408180812,2392.89927064032,2455.04815505477,2386.73732974062,1
141260,3312.11624800184,3325.18207112074,3433.00146803912,3592.41655343037,3623.24054734929,1
141290,NA,2217.57958801108,1980.12105037529,2055.62737765914,1910.1623190144,5
141300,2173.90042308206,NA,2169.90042308583,2421.41782310308,2241.68307348176,3
141340,3873.73370584929,3869.63874020495,4053.82014932545,4107.04136961849,4094.7807531811,2
141380,3090.25647788904,3052.91928890593,3169.5825837134,3285.49762324508,3315.99849876331,2
141400,3333.93489277235,3316.88946537162,3455.87664724825,3512.09066160214,3609.66238810337,2
141420,NA,NA,775.04619498396,906.480991624035,819.977149267546,3
141470,3415.74588182806,3425.85199617347,3554.02910879941,3715.20861948844,3708.86545971142,1
141490,NA,3333.4018688488,NA,3205.35288789363,3278.17370088421,4
141500,2507.67991176411,2506.61410116141,2522.10433124489,2926.20123734246,2833.79070884867,2
141520,3098.26147753349,3105.70408576634,3428.08321841207,3556.87223430984,3632.10470486884,1
141560,3246.0319246067,3234.40977045239,3328.02231819903,3294.50267365393,3463.71869133128,2
141570,2074.86457598188,2076.86457598188,2070.86457598188,2486.4061080507,2243.2305214425,3
141580,3385.15680684828,3382.51255573556,NA,3162.22407798627,3347.82653153248,4
141610,2539.10567124699,2539.4248598069,3071.01275991399,3136.67694157129,3162.00294566221,1
141630,2388.86294061773,2390.86294061773,2384.86294061773,2487.26661217934,2358.17883480653,5
