"IndivYr","AnimalID","SprAO","FallAO"
"141180-14",141180,0,0
"140100-14",140100,0.733224413,0.0620788
"141340-14",141340,0,0
"141470-14",141470,0,0
"141160-14",141160,0,0
"141520-14",141520,0.255491764,0.084191078
"141610-14",141610,0.611762268,0.513732825
"141000-14",141000,0.111524896,0.170384656
"140120-14",140120,0.880904284,0
"140040-14",140040,0.280554959,0
"140060-14",140060,0.113588623,0.707666346
"140070-14",140070,0.68497005,0.830968519
"140290-14",140290,0,0.331825508
"140300-14",140300,0,0
"140320-14",140320,0.107678056,0.250850787
"140340-14",140340,0,0
"140400-14",140400,0.036967791,0.563570692
"140560-14",140560,0,0
"140600-14",140600,0.126270191,0.257059203
"140630-14",140630,0.330828015,0.361494988
"140650-14",140650,0.712014153,0.795526451
"140680-14",140680,0.747202359,0.940018536
"140710-14",140710,0.137498961,0.597424589
"140800-14",140800,0,0
"140850-14",140850,0,0
"140890-14",140890,0.172535291,0.379212588
"140940-14",140940,0.721376508,0.97613844
"140960-14",140960,0.394086299,0.531711263
"140980-14",140980,0.302858567,0
"141010-14",141010,0.172118661,0
"141060-14",141060,0.428461867,0.552337881
"141070-14",141070,0.1744547,0.366082265
"141080-14",141080,0.370539137,0.615065471
"141100-14",141100,0.107677011,0.572175971
"141120-14",141120,0,0
"141130-14",141130,0.031499156,0.073764709
"141150-14",141150,0,0
"141260-14",141260,0.211260755,0.138924511
"141490-14",141490,0.178260894,0.27488802
"141560-14",141560,0,0.098919518
"140050-14",140050,0.365560799,0.321284178
"140380-14",140380,0.795109666,0.850126278
"140480-14",140480,0.563595434,0.678536707
"140910-14",140910,0.04447247,0.016035344
"141210-14",141210,0.85100334,NA
"141170-14",141170,0.051723174,NA
"141570-14",141570,0,NA
"141300-14",141300,0,NA
"141110-14",141110,0.106486402,NA
"141290-14",141290,0,NA
"141630-14",141630,0.128658824,NA
"141200-14",141200,0,NA
"141220-14",141220,0.299383208,NA
"140360-14",140360,0.139254226,NA
"141500-14",141500,0,NA
"141580-14",141580,0,NA
"140920-14",140920,1,NA
"141380-14",141380,0,NA
"141400-14",141400,0,NA
"140900-14",140900,0.168598021,NA
"141090-14",141090,0.733234185,NA
"151580-14",151580,NA,NA
"151220-14",151220,NA,NA
"151170-14",151170,NA,NA
"151380-14",151380,NA,NA
"151300-14",151300,NA,NA
"151110-14",151110,NA,NA
"150360-14",150360,NA,NA
"150920-14",150920,NA,NA
"151200-14",151200,NA,NA
"151570-14",151570,NA,NA
"141180-15",141180,0,NA
"140100-15",140100,0.338793024,NA
"141340-15",141340,0,NA
"141470-15",141470,0,NA
"141160-15",141160,0,NA
"141520-15",141520,0,NA
"141610-15",141610,0.624948245,NA
"141000-15",141000,0.031623781,NA
"140120-15",140120,0,NA
"140040-15",140040,0,0
"140060-15",140060,0.459514672,0.386823157
"140070-15",140070,0.88758773,0.914859596
"140290-15",140290,0.40571624,0.082335513
"140300-15",140300,0,0
"140320-15",140320,0.430366907,0.188042972
"140340-15",140340,0,0
"140400-15",140400,0.568021882,0.435737001
"140560-15",140560,0,0.756366065
"140600-15",140600,0.449556872,0.350331822
"140630-15",140630,0.373362697,0.075668763
"140650-15",140650,1,1
"140680-15",140680,0.202129089,0.291947637
"140710-15",140710,0.59115049,0.44373852
"140800-15",140800,0,0.613212029
"140850-15",140850,0,0
"140890-15",140890,0.514256661,0.276432652
"140940-15",140940,0.491523377,0.271054701
"140960-15",140960,0.569646891,0.422415141
"140980-15",140980,0,0.21856205
"141010-15",141010,0,0
"141060-15",141060,0.693890732,0.6121317
"141070-15",141070,0.48924057,0.270101968
"141080-15",141080,0.672104812,0.490303078
"141100-15",141100,0.477686146,0.37043213
"141120-15",141120,0,0
"141130-15",141130,0.543769206,0.447132691
"141150-15",141150,0,0
"141260-15",141260,0.078322589,0.206827614
"141490-15",141490,0.4226232,0.283122247
"141560-15",141560,0.050259925,0
"140050-15",140050,0.354879116,0.241435669
"140380-15",140380,0.789083038,0.897193729
"140480-15",140480,0.799561988,0.528081747
"140910-15",140910,0.008671913,0.205760014
"141210-15",141210,NA,NA
"141170-15",141170,NA,NA
"141570-15",141570,NA,NA
"141300-15",141300,NA,NA
"141110-15",141110,NA,NA
"141290-15",141290,NA,NA
"141630-15",141630,NA,NA
"141200-15",141200,NA,NA
"141220-15",141220,NA,NA
"140360-15",140360,NA,NA
"141500-15",141500,NA,NA
"141580-15",141580,NA,NA
"140920-15",140920,NA,NA
"141380-15",141380,NA,NA
"141400-15",141400,NA,NA
"140900-15",140900,NA,NA
"141090-15",141090,NA,NA
"151580-15",151580,0.05825283,NA
"151220-15",151220,0.021010393,NA
"151170-15",151170,0.667915342,NA
"151380-15",151380,0,NA
"151300-15",151300,0.335865089,NA
"151110-15",151110,0.3731301,NA
"150360-15",150360,0.018976059,0
"150920-15",150920,0.067134719,0.051317006
"151200-15",151200,0.001029376,0
"151570-15",151570,0,0
