"IndivYr","AnimalID","SprAO","FallAO","SprVI","FallVI","SprNSD","FallNSD"
"140040-14",140040,0.280554959,0,0.062411894624292,0.0122525612158396,49.3589567020807,160.238427972063
"140050-14",140050,0.365560799,0.321284178,0.183685944923195,0.286033526958729,11.5321457390937,59.2463508856634
"140060-14",140060,0.113588623,0.707666346,0.0483101628200073,0.388176644241061,68.7119776721862,30.1915912508592
"140070-14",140070,0.68497005,0.830968519,0.53524978011752,0.736857696896306,7.07308204250368,12.4968647072666
"140100-14",140100,0.733224413,0.0620788,0.438781387571915,0.0319833237436368,20.0662140382843,81.9558794318443
"140120-14",140120,0.880904284,0,0.0585504262743254,1.6001420658332e-05,35.4125310988922,169.214020115175
"140290-14",140290,0,0.331825508,0.000294529210506222,0.250600726334802,42.5668193259683,33.2849222375176
"140300-14",140300,0,0,0,0,108.142059153508,74.4411321676824
"140320-14",140320,0.107678056,0.250850787,0.0308950936351652,0.148456654478026,51.1195796622122,241.641871269451
"140340-14",140340,0,0,0,1.66779901625467e-07,95.0936045929817,91.7421070231111
"140360-14",140360,0.139254226,NA,0.0134111378490165,NA,32.9410305438882,NA
"140380-14",140380,0.795109666,0.850126278,0.457914736496204,0.728911656913336,6.66814015616513,12.6056362002298
"140400-14",140400,0.036967791,0.563570692,0.0221418875016506,0.344331576213114,78.6405239438359,22.6371955517505
"140480-14",140480,0.563595434,0.678536707,0.323472439911169,0.428611215599743,56.0800353568872,43.3003248125171
"140560-14",140560,0,0,0,1.12783003499542e-05,140.439687510065,146.215932026625
"140600-14",140600,0.126270191,0.257059203,0.0808048570299386,0.285579020780527,109.471196931719,49.6605946043503
"140630-14",140630,0.330828015,0.361494988,0.207862956407001,0.326645419068203,28.8146426395829,43.6228189137803
"140650-14",140650,0.712014153,0.795526451,0.530295648620065,0.731259260308338,5.63201932666804,12.8515054971556
"140680-14",140680,0.747202359,0.940018536,0.0928750404868497,0.105427398049783,76.9778666710753,17.5090427190451
"140710-14",140710,0.137498961,0.597424589,0.0481589871453609,0.303351800607977,111.499970353789,68.2382776757653
"140800-14",140800,0,0,0,0,178.990527013429,112.189181830938
"140850-14",140850,0,0,1.47845282625896e-07,6.80528193267256e-06,111.204704538716,75.2071404242527
"140890-14",140890,0.172535291,0.379212588,0.0904932744504816,0.191865165955973,208.495384982202,111.271347352118
"140900-14",140900,0.168598021,NA,0.204186313066782,NA,158.007675277263,NA
"140910-14",140910,0.04447247,0.016035344,0.0128326968208721,0.0069506244336262,56.3204764222913,49.9185169849173
"140920-14",140920,1,NA,0.268295052690843,NA,13.7808112424573,NA
"140940-14",140940,0.721376508,0.97613844,0.34457438439919,0.422045776615298,39.8115016989449,115.345885207827
"140960-14",140960,0.394086299,0.531711263,0.244042997255956,0.297567688103611,79.2245474481283,66.7007139628115
"140980-14",140980,0.302858567,0,0.0427993068082059,5.14283659997615e-07,57.3166713177769,93.2129964930987
"141000-14",141000,0.111524896,0.170384656,0.0829448768367277,0.096077305119097,150.815434648797,128.91706994386
"141010-14",141010,0.172118661,0,0.0269767303497744,0,58.4411755753794,190.580954771603
"141060-14",141060,0.428461867,0.552337881,0.197090854391058,0.299277433685926,69.2108830317799,75.2009370472592
"141070-14",141070,0.1744547,0.366082265,0.138620266965752,0.369542222892643,30.1663876465564,35.524506336733
"141080-14",141080,0.370539137,0.615065471,0.13088167007949,0.323853227061568,83.0733069848973,25.4250484656942
"141090-14",141090,0.733234185,NA,0.550617966661327,NA,5.59837641197293,NA
